,Company,Data_Time,Job_Name,Location,Links
0,LONZA,2021-10-13,Student Internship / Praktikant,"Switzerland, Basel",https://www.lonza.com/jobs/R3784
1,LONZA,2021-10-13,(Senior) Scientist Process Development,"Switzerland, Basel",https://www.lonza.com/jobs/R26093
2,LONZA,2021-10-13,Senior Data Engineer,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R36672
3,LONZA,2021-10-13,(Senior) Scientist Physico-Chemical Quality Control,"Switzerland, Basel",https://www.lonza.com/jobs/R38061
4,LONZA,2021-10-13,Scientist Bioanalytics,"Switzerland, Basel",https://www.lonza.com/jobs/R26740
5,LONZA,2021-10-13,Data Governance Manager,"Switzerland, Basel",https://www.lonza.com/jobs/R37116
6,LONZA,2021-10-13,Internship – Strategy Consultant CIO Office,"Switzerland, Basel",https://www.lonza.com/jobs/R36666
7,LONZA,2021-10-13,Head of Process Development LNP,"Switzerland, Basel",https://www.lonza.com/jobs/R34759
8,LONZA,2021-10-13,"Team Leader, Physico-Chemical Quality Control","Switzerland, Basel",https://www.lonza.com/jobs/R38059
9,LONZA,2021-10-13,Technology Transfer Lead,"Switzerland, Basel",https://www.lonza.com/jobs/R26202
10,LONZA,2021-10-13,"Lead Scientist, Formulation Development, DPS","Switzerland, Basel",https://www.lonza.com/jobs/R37629
11,LONZA,2021-10-13,(Senior) Scientist Stability Physico-Chemical Quality Control,"Switzerland, Basel",https://www.lonza.com/jobs/R38010
12,LONZA,2021-10-13,Scientist Formulation Development,"Switzerland, Basel",https://www.lonza.com/jobs/R38190
13,LONZA,2021-10-13,Director Commercial Development (Mammalian),"Switzerland, Basel; United Kingdom, Slough",https://www.lonza.com/jobs/R32511
14,LONZA,2021-10-13,"Technical Proposals Manager, Drug Product Services","Switzerland, Basel",https://www.lonza.com/jobs/R36047
15,LONZA,2021-10-13,QC Planner/Scheduler (m/f/d),"Switzerland, Basel",https://www.lonza.com/jobs/R35779
16,LONZA,2021-10-13,"Lead Scientist, Process Development","Switzerland, Basel",https://www.lonza.com/jobs/R37572
17,LONZA,2021-10-13,Quality Network Head Drug Product Services,"Switzerland, Basel",https://www.lonza.com/jobs/R35051
18,LONZA,2021-10-13,QC Lab Systems Specialist,"Switzerland, Basel",https://www.lonza.com/jobs/R38217
19,LONZA,2021-10-13,Technical Sales Manager,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R33662
20,LONZA,2021-10-13,"Lead Scientist, Physico-Chemical Quality Control","Switzerland, Basel",https://www.lonza.com/jobs/R38151
21,LONZA,2021-10-13,Program Manager DPS,"Switzerland, Basel",https://www.lonza.com/jobs/R34828
22,LONZA,2021-10-13,Head of Physico-Chemical Quality Control Drug Product Services,"Switzerland, Basel",https://www.lonza.com/jobs/R37020
23,LONZA,2021-10-13,Senior Program Manager Drug Product Services,"Switzerland, Basel",https://www.lonza.com/jobs/R38602
24,LONZA,2021-10-13,Senior Principal Scientist / Group Head Bioanalytics,"Switzerland, Basel",https://www.lonza.com/jobs/R37062
25,LONZA,2021-10-13,Capital Projects Specialist,"Switzerland, Basel; United States, Portsmouth (New Hampshire)",https://www.lonza.com/jobs/R36230
26,LONZA,2021-10-13,Integration Engineer,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R30258
27,LONZA,2021-10-13,Integration Architect,"Switzerland, Basel; Switzerland, Visp",https://www.lonza.com/jobs/R30257
28,LONZA,2021-10-13,"Associate Director, Digital Portfolio Testing & Release","Singapore, Singapore; Singapore, Tuas Singapore; Spain, Porrino; Switzerland, Basel; Switzerland, Visp; United Kingdom, Slough; United States, Portsmouth (New Hampshire)",https://www.lonza.com/jobs/R24283
29,LONZA,2021-10-13,Principal Scientist / Group Lead Formulation Development,"Switzerland, Basel",https://www.lonza.com/jobs/R37633
